Accession,Release_Date,Species,Genus,Family,Length,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source
QHO60597,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHO60594,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHQ71962,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHQ71969,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHQ71963,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHQ71970,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHQ71966,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHO62115,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,nucleocapsid protein,China,Homo sapiens,
QHO62113,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,envelope protein,China,Homo sapiens,
QHO62114,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,matrix protein,China,Homo sapiens,
QHO62111,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,orf1ab polyprotein,China,Homo sapiens,
QHO60601,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHO60599,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHR93621,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,"Capobianchi,M.R., Carletti,F., Lalle,E., Bordi,L., Marsella,P., Colavita,F., Matusali,G., Nicastri,E., Ippolito,G., Castilletti,C.",,membrane glycoprotein,Italy,Homo sapiens,oronasopharynx
QHO60596,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHQ71964,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHQ71971,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHQ71965,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHO62108,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,envelope protein,China,Homo sapiens,
QHO62107,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,surface glycoprotein,China,Homo sapiens,
QHO62106,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,orf1ab polyprotein,China,Homo sapiens,
QHO60595,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHO60603,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHO60602,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHO60600,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHO60598,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Lynch,B., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHQ71967,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHQ71968,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Uehara,A., Queen,K., Tao,Y., Li,Y., Paden,C.R., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHO62112,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K., Liu,Y.",,surface glycoprotein,China,Homo sapiens,
QHU36825,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,ORF3a protein,China,Homo sapiens,lung
QHU36826,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,envelope protein,China,Homo sapiens,lung
QHU36832,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,ORF10 protein,China,Homo sapiens,lung
QHU36827,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,membrane glycoprotein,China,Homo sapiens,lung
QHU36871,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,nucleocapsid phosphoprotein,China,Homo sapiens,lung
QHU36870,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,ORF8 protein,China,Homo sapiens,lung
QHU36869,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,ORF7a protein,China,Homo sapiens,lung
QHU36872,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,ORF10 protein,China,Homo sapiens,lung
QHU36868,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,ORF6 protein,China,Homo sapiens,lung
QHU36867,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Wu,Z., Wu,C., Liu,Y., Yang,J., Liu,B., Li,M.",,membrane glycoprotein,China,Homo sapiens,lung
QHW06039,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06044,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHW06043,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHW06042,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06041,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHW06040,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHW06038,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHW06046,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHW06047,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHW06045,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHU36828,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,ORF6 protein,China,Homo sapiens,lung
QHU36824,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Ren,L., Wang,J., Jin,Q., Xiang,Z., Li,Y., Wu,Z., Wu,C., Liu,Y.",,surface glycoprotein,China,Homo sapiens,lung
QHW06055,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHW06052,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06051,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHW06048,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHW06056,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHW06057,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHW06053,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHW06054,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHW06049,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06050,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Queen,K., Zhang,J., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHW06066,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHW06060,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHW06067,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHW06065,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHW06062,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06061,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHW06059,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHW06058,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHW06063,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHW06064,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Tao,Y., Queen,K., Zhang,J., Li,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHN73812,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M., Yuen,K.Y., Chan,J.F.W., Yuen,K.-Y.",,envelope protein,China,Homo sapiens,"lung, oronasopharynx"
